74,U0,ダイキン工業,業務用エアコン,ガス欠,冷媒不足を検知して停止しています。
75,U1,ダイキン工業,業務用エアコン,逆相・欠相,三相（動力）電源が逆相・欠相となっている。
76,U2,ダイキン工業,業務用エアコン,電源電圧異常,電圧が正常（規定±１０％以内）範囲外となっている。
77,U3,ダイキン工業,業務用エアコン,チェック運転未実施,試運転必要機器にて未実施。左記機器の制御基板交換後も再試運転要。
78,U4,ダイキン工業,業務用エアコン,室内－室外間の通信異常,室内制御基板と室外制御基板間での通信が上手くいかない。
79,U5,ダイキン工業,業務用エアコン,室内－リモコン間の通信異常,室内制御基板とリモコン間での通信が上手くいかない。
80,U7,ダイキン工業,業務用エアコン,室外機内の基板間通信異常,室外機間（連結機やデマンド用に取り付けた外部制御アダプタ等）で通信線を渡している機器間での通信が上手くいかない。
81,U8,ダイキン工業,業務用エアコン,リモコン主従設定不良,リモコン主従設定に誤りが有る。
82,U9,ダイキン工業,業務用エアコン,同一系統内の室内機異常検知,系統内の他室内機エラーを検出した為に停止している。
83,UA,ダイキン工業,業務用エアコン,(ルーム)加湿ホース長未設定・（その他）システムエラー,設定未実施や内外組み合わせ違いによるエラー。
84,UC,ダイキン工業,業務用エアコン,集中アドレス設定エラー,集中リモコンが読み込んでいる室内機に、アドレス重複してしまっている機器が有る。
85,UE,ダイキン工業,業務用エアコン,室内－集中間の通信異常,集中リモコンが認識していた室内機と通信が出来なくなった。
86,UF,ダイキン工業,業務用エアコン,配線・配管の誤接続（テレコ）,チェック運転中、テレコ接続になっている可能性を検出。
87,UH,ダイキン工業,業務用エアコン,システムエラー,同一系統内増設等により台数が変わった際、再度チェック運転が必要。
88,UJ,ダイキン工業,業務用エアコン,オプション機器との通信異常,マルチレベルコンバータに関する不具合。
89,E01,東芝キヤリア,業務用エアコン,リモコン親なし　リモコン通信異常,
90,E02,東芝キヤリア,業務用エアコン,リモコン送信不良,
91,E03,東芝キヤリア,業務用エアコン,室内⇔リモコン間定期通信エラー,
92,E04,東芝キヤリア,業務用エアコン,室内外シリアル異常、渡り線の誤配線,
93,E06,東芝キヤリア,業務用エアコン,（室内－室外間の通信途絶え）室内接続台数減少,
94,E07,東芝キヤリア,業務用エアコン,室内－室外間の通信受信不良,
95,E08,東芝キヤリア,業務用エアコン,室内ユニットアドレス重複,
96,E09,東芝キヤリア,業務用エアコン,リモコン親重複,
97,E1,東芝キヤリア,業務用エアコン,室外　圧力（Ｐｄ２）センサ動作　商用側高圧,
98,E10,東芝キヤリア,業務用エアコン,ＣＰＵ間通信異常、ファン駆動用ＭＣＵとメインＭＣＵ間の通信異常,
99,E12,東芝キヤリア,業務用エアコン,自動アドレス開始エラー（補助コード０１：室内外通信　０２：室外間通信）,
100,E15,東芝キヤリア,業務用エアコン,自動アドレス設定中の室内ユニット不在,
101,E16,東芝キヤリア,業務用エアコン,室内接続台数・容量オーバー,
102,E18,東芝キヤリア,業務用エアコン,室内ユニット親子間定期通信エラー,
103,E19,東芝キヤリア,業務用エアコン,センター室外機台数異常（補助コード０１：センターなし　０２：センター２台以上）,
104,E2,東芝キヤリア,業務用エアコン,室外　吐出（Ｔｄ３）センサ動作,
105,E20,東芝キヤリア,業務用エアコン,自動アドレス設定中に冷媒配管通信不一致,
106,E23,東芝キヤリア,業務用エアコン,室外機間の通信送信不良,
107,E25,東芝キヤリア,業務用エアコン,ターミナル機のアドレス設定重複,
108,E26,東芝キヤリア,業務用エアコン,室外機間の通信受信不良、室外接続台数減少,
109,E28,東芝キヤリア,業務用エアコン,ターミナル室外異常,
110,E3,東芝キヤリア,業務用エアコン,室外　吐出（Ｔｄ４）センサ動作,
111,E31,東芝キヤリア,業務用エアコン,ＩＰＤＵ通信異常（補助コード０１：Ａ３－ＩＰＤＵ１不良　０２：Ａ３－ＩＰＤＵ２不良　０３：Ａ３－ＩＰＤＵ１，２不良　０４：ファンＩＰＤＵ不良　０５：Ａ３－ＩＰＤＵ１＋ファンＩＰＤＵ不良　０６：Ａ３－ＩＰＤＵ２＋ファンＩＰＤＵ不良　０７：全ＩＰＤＵ不良）,
112,E5,東芝キヤリア,業務用エアコン,室外　ＩＯＬ動作　ＩＮＶ側,
113,E6,東芝キヤリア,業務用エアコン,室外　ＩＯＬ２，ＯＬ動作　商用側,
114,F0,東芝キヤリア,業務用エアコン,室外　圧力（Ｐｄ３）センサ動作　商用側高圧,
115,F01,東芝キヤリア,業務用エアコン,室内ユニット　熱交センサ（ＴＣＪ）異常,
116,F02,東芝キヤリア,業務用エアコン,室内ユニット　熱交センサ（ＴＣ２）異常,
117,F03,東芝キヤリア,業務用エアコン,室内ユニット　熱交センサ（ＴＣ１）異常,
118,F04,東芝キヤリア,業務用エアコン,室外温度センサ（ＴＤ）のはずれ、断線あるいはショート,
119,F05,東芝キヤリア,業務用エアコン,室外温度センサ（ＴＤ２）のはずれ、断線あるいはショート,
120,F06,東芝キヤリア,業務用エアコン,室外温度センサ（ＴＥ・ＴＳ）のはずれ、断線あるいはショート,
121,F07,東芝キヤリア,業務用エアコン,室外機　液温センサ（ＴＬ）異常,
122,F08,東芝キヤリア,業務用エアコン,室外機　外気温度センサ（ＴＯ）のはずれ、断線あるいはショート,
123,F1,東芝キヤリア,業務用エアコン,室外　ＩＯＬ３，ＯＬ４動作　商用側,
124,F10,東芝キヤリア,業務用エアコン,室内ユニット　室温センサ（ＴＡ）異常,
125,F12,東芝キヤリア,業務用エアコン,室外機　吸込温度センサ（ＴＳ）異常,
126,F13,東芝キヤリア,業務用エアコン,ヒートシンクセンサ（ＴＨ）異常（補助コード０１：圧縮機１　０２：圧縮機２）,
127,F15,東芝キヤリア,業務用エアコン,熱交センサ（ＴＥ）と液温センサ（ＴＬ）との誤接続,
128,F16,東芝キヤリア,業務用エアコン,高圧センサ（Ｐｄ）と低圧センサ（Ｐｓ）との誤配線,
129,F17,東芝キヤリア,業務用エアコン,室外吸込ＴＯＡセンサー異常,
130,F18,東芝キヤリア,業務用エアコン,室内吸込ＴＲＡセンサー異常,
131,F2,東芝キヤリア,業務用エアコン,室外　圧力（Ｐｄ４）センサ動作　商用側高圧,
132,F21,東芝キヤリア,業務用エアコン,２００Ｖ誤印加（１００Ｖ機器のみ）,
133,F23,東芝キヤリア,業務用エアコン,室外機　高圧センサ（Ｐｄ）異常,
134,F24,東芝キヤリア,業務用エアコン,室外機　低圧センサ（Ｐｓ）異常,
135,F29,東芝キヤリア,業務用エアコン,室内ユニット　他の室内基板異常,
136,F3,東芝キヤリア,業務用エアコン,室外　ＩＯＬ４，ＯＬ４動作　商用側,
137,F31,東芝キヤリア,業務用エアコン,室外機　ＥＥＰＲＯＭ不良,
138,H01,東芝キヤリア,業務用エアコン,室外機　圧縮機ブレークダウン,
139,H02,東芝キヤリア,業務用エアコン,室外機　圧縮機が回転しない,
140,H03,東芝キヤリア,業務用エアコン,室外機　電流検出回路異常,
141,H04,東芝キヤリア,業務用エアコン,圧縮機１ケースサーモ動作,
142,H06,東芝キヤリア,業務用エアコン,室外機　低圧スイッチ動作，（低圧スイッチあり機種）,
143,H07,東芝キヤリア,業務用エアコン,室外機　油面低下検出異常,
144,H08,東芝キヤリア,業務用エアコン,均油回路系温度センサ（ＴＫ１，ＴＫ２，ＴＫ３，ＴＫ４）異常,
145,H14,東芝キヤリア,業務用エアコン,圧縮機２ケースサーモ動作，室外機の保護装置が動作,
146,H16,東芝キヤリア,業務用エアコン,均油回路系異常，室外機のＴＫ１，ＴＫ２，ＴＫ３，ＴＫ４回路系の異常,
147,L03,東芝キヤリア,業務用エアコン,室内ユニット親重複,
148,L04,東芝キヤリア,業務用エアコン,室外系統アドレス重複設定,
149,L05,東芝キヤリア,業務用エアコン,優先室内ユニット重複（優先させる室内に表示）,
150,L06,東芝キヤリア,業務用エアコン,優先室内ユニット重複（優先させる室内以外に表示）,
151,L07,東芝キヤリア,業務用エアコン,個別室内ユニットにグループ線あり,
152,L08,東芝キヤリア,業務用エアコン,室内アドレスグループ未設定のとき,
153,L09,東芝キヤリア,業務用エアコン,室内ユニットの能力が未設定,
154,L10,東芝キヤリア,業務用エアコン,室外能力未設定,
155,L17,東芝キヤリア,業務用エアコン,室外機機種不一致,
156,L20,東芝キヤリア,業務用エアコン,ＬＡＮ系通信異常,
157,L28,東芝キヤリア,業務用エアコン,室外機接続台数オーバー,
158,L29,東芝キヤリア,業務用エアコン,室外機その他異常,
159,L30,東芝キヤリア,業務用エアコン,室内ユニットへの外部異常入力あり（インターロック）,
160,L31,東芝キヤリア,業務用エアコン,位相検出保護回路動作,
161,P01,東芝キヤリア,業務用エアコン,室内ユニット　室内ファン異常,
162,P03,東芝キヤリア,業務用エアコン,室外機　吐出温度異常,
163,P04,東芝キヤリア,業務用エアコン,室外機　ＴＥセンサによる高圧保護異常，所定値以上温度検出，高圧スイッチ（ノーマル機種）,
164,P05,東芝キヤリア,業務用エアコン,室外機欠相異常検出、相順異常検出,
165,P07,東芝キヤリア,業務用エアコン,室外機ヒートシンク過熱異常，室外機の電気部品（ＩＧＢＴ）放熱不良,
166,P10,東芝キヤリア,業務用エアコン,室内ユニット　溢水検出,
167,P12,東芝キヤリア,業務用エアコン,室内ユニット　室内ファン異常,
168,P13,東芝キヤリア,業務用エアコン,室外機の液バック検出異常,
169,P15,東芝キヤリア,業務用エアコン,ガスリーク検出…冷媒封入量不足,
170,P17,東芝キヤリア,業務用エアコン,室外機吐出温度（ＴＤ２）異常…室外機の保護装置が動作,
171,P19,東芝キヤリア,業務用エアコン,室外機四方弁異常,
172,P20,東芝キヤリア,業務用エアコン,高圧保護異常,
173,P22,東芝キヤリア,業務用エアコン,室外機　室外ファン異常,
174,P24,東芝キヤリア,業務用エアコン,蓄熱リモコンの不具合,
175,P26,東芝キヤリア,業務用エアコン,室外機　インバータＩｄｃ動作,
176,P29,東芝キヤリア,業務用エアコン,室外機　ＩＰＤＵ位置検出回路異常,
177,P30,東芝キヤリア,業務用エアコン,【ＴＣＣ－ＬＩＮＫ集中管理機器が検出する異常】グループ制御子機異常，集中管理アドレス重複,
178,P31,東芝キヤリア,業務用エアコン,他の室内ユニット異常,
179,*集中ﾘb7,東芝キヤリア,業務用エアコン,室内グループ内異常,
180,*集中ﾘ97,東芝キヤリア,業務用エアコン,ＬＡＮ系通信異常，集中管理系信号（ＡＩ－ＮＥＴ）の通信異常,
181,*集中ﾘ99,東芝キヤリア,業務用エアコン,通信アダプタが複数台,
182,01,日立,業務用エアコン,室内保護装置作動（フロートスイッチ）　水受の異常水位、配管異常によるフロートスイッチ作動,
183,02,日立,業務用エアコン,室外保護装置作動（原因コード41、42以外）高圧遮断装置（4.15MPa）冷房運転時室外ファンモータロック,
184,03,日立,業務用エアコン,伝送異常（室内－室外）　室内外間操作回路配線の端子の緩み、断線、誤配線、室外ヒューズ溶断,
185,04,日立,業務用エアコン,伝送異常（インバータ）　インバーター基盤間の伝送不良,
186,05,日立,業務用エアコン,相検出異常　室外ユニット電源端子部緩みなどによる欠相,
187,06,日立,業務用エアコン,室外ユニット電圧異常　室外ユニット電圧低下、電源配線容量不足,
188,07,日立,業務用エアコン,吹出ガススーパーヒート低下異常　電子膨張弁ロックなどによる圧縮機吐出ガススーパーヒート低下,
189,08,日立,業務用エアコン,圧縮機上温度過昇　冷媒不足・抜け・冷媒配管詰りなどに起因する圧縮機上昇温度過昇,
190,11,日立,業務用エアコン,吸込温度サーミスタ異常（室内ユニット）（断線、短絡） コネクタ部緩み・外れ・断線,
191,12,日立,業務用エアコン,吹出温度サーミスタ異常(室内ユニット）（断線、短絡） コネクタ部緩み・外れ・断線,
192,13,日立,業務用エアコン,凍結温度サーミスタ異常（室内ユニット）（断線、短絡）,
193,14,日立,業務用エアコン,熱交ガス温度サーミスタ異常（室内ユニット）（断線、短絡）コネクタ部緩み・外れ・断線,
194,19,日立,業務用エアコン,室内ファンモータ用プロテクタ作動　ファンモーター用プロテクタ（49FE)(130℃OFF）,
195,20,日立,業務用エアコン,圧縮機上温度サーミスタ異常（室外ユニット）（断線、短絡）コネクタ部緩み・外れ・断線,
196,22,日立,業務用エアコン,外気温度サーミスタ異常（室外ユニット）（断線、短絡）コネクタ部緩み・外れ・断線,
197,24,日立,業務用エアコン,配管温度サーミスタ異常（室外ユニット）（断線、短絡）コネクタ部緩み・外れ・断線、 暖房運転時室外ファンモータロック,
198,31,日立,業務用エアコン,室内外組み合わせ容量誤り　室外容量に対し、室内容量が80〜120％の範囲外、 e－LINE対応不可システム,
199,35,日立,業務用エアコン,室内号機設定異常　室内ユニット号機設定の重複、室内ユニット台数が仕様範囲外,
200,38,日立,業務用エアコン,保護検出回路異常　室外保護検出回路の故障,
201,41,日立,業務用エアコン,冷房過負荷（高圧遮断装置作動の可能性大）室外保護装置作動時圧縮機上95℃以上、 室外配管温度55℃以上,
202,42,日立,業務用エアコン,暖房過負荷（ヒート機のみ）（高圧遮断装置作動の可能性大）室外保護装置作動時圧縮機上95℃以上、 室外配管温度55℃以上,
203,47,日立,業務用エアコン,低圧圧力低下防止保護作動　蒸発温度の異常低下による停止が1時間以内に3回、 暖房運転時室外ファンモータロック,
